iata_code,name,active
0A,Amber Air,N
0B,Blue Air,Y
0D,Darwin Airline,Y
0E,Dummy,N
0G,Global Airlines,Y
0J,Jetclub,N
0J,Jetclub,N
0M,All America MX,Y
0P,All America BOPY,Y
0X,Copenhagen Express,Y
0Y,All America CO,Y
1,Bobb Air Freight,Y
10,Canadian World,N
11,TUIfly (X3),Y
12,12 North,Y
13,Eastern Atlantic Virtual Airlines,Y
1A,Amadeus Global Travel Distribution,N
1B,Abacus International,Y
1C,Electronic Data Systems,N
1C,OneChina,Y
1D,Radixx Solutions International,N
1E,Travelsky Technology,N
1E,TransRussiaAirlines,Y
1F,INFINI Travel Information,N
1F,CB Airways UK ( Interliging Flights ),Y
1G,Galileo International,N
1H,Siren-Travel,N
1H,Hellenic Airways,N
1I,Sky Trek International Airlines,N
1I,NetJets,Y
1I,Novair,Y
1I,Sky Trek International Airlines,N
1I,Deutsche Rettungsflugwacht,N
1I,Pegasus Hava Tasimaciligi,N
1I,Sierra Nevada Airlines,N
1K,Sutra,N
1K,BudgetAir,Y
1K,Southern Cross Distribution,N
1L,Open Skies Consultative Commission,N
1M,JSC Transport Automated Information Systems,N
1N,Navitaire,N
1P,Worldspan,N
1Q,Sirena,N
1R,Hainan Phoenix Information Systems,N
1R,All America CL,Y
1S,Sabre,N
1T,1Time Airline,Y
1U,Polyot Sirena,N
1U,ITA Software,N
1X,Island Express Air,Y
1Y,All America BR,Y
1Z,Sabre Pacific,N
20,Air Salone,Y
24,Euro Jet,Y
2A,Deutsche Bahn,Y
2B,Aerocondor,Y
2C,SNCF,N
2D,Aero VIP,N
2D,Alaniya Airlines,N
2D,Aero VIP (2D),Y
2F,Frontier Flying Service,Y
2G,Cargoitalia,N
2G,San Juan Airlines,N
2H,Thalys,N
2I,Star Peru (2I),Y
2J,Air Burkina,Y
2K,Aerolineas Galapagos (Aerogal),Y
2L,Helvetic Airways,Y
2M,Moldavian Airlines,Y
2N,NextJet,Y
2O,Air Salone,Y
2P,Air Philippines,Y
2Q,Air Cargo Carriers,Y
2R,All America AR,Y
2R,VIA Rail Canada,N
2S,Air Carnival,Y
2S,Star Equatorial Airlines,N
2S,Island Express,N
